"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"距","jù","Archive","4","1202","0","0","0",""
"符","fú","Archive","4","1205","0","0","0",""
"勇","yǒng","Archive","4","1206","0","0","0",""
"厅","tīng","Archive","4","1217","0","0","0",""
"拜","bài","Archive","4","1218","0","0","0",""
"巧","qiǎo","Archive","4","1219","0","0","0",""
"戴","dài","Archive","4","1228","0","0","0",""
"童","tóng","Archive","4","1229","0","0","0",""
"乘","chéng","Archive","4","1231","0","0","0",""
"挂","guà","Archive","4","1232","0","0","0",""
"奖","jiǎng","Archive","4","1233","0","0","0",""
"厚","hòu","Archive","4","1235","0","0","0",""
"镜","jìng","Archive","4","1251","0","0","0",""
"烦","fán","Archive","4","1253","0","0","0",""
"签","qiān","Archive","4","1254","0","0","0",""
"牌","pái","Archive","4","1261","0","0","0",""
"咱","zán","Archive","4","1265","0","0","0",""
"奋","fèn","Archive","4","1268","0","0","0",""
"播","bō","Archive","4","1275","0","0","0",""
"桥","qiáo","Archive","4","1292","0","0","0",""
"寒","hán","Archive","4","1297","0","0","0",""
"聚","jù","Archive","4","1306","0","0","0",""
"袋","dài","Archive","4","1310","0","0","0",""
"暂","zàn","Archive","4","1325","0","0","0",""
"估","gū","Archive","4","1326","0","0","0",""
"拒","jù","Archive","4","1331","0","0","0",""
"忆","yì","Archive","4","1333","0","0","0",""
"闹","nào","Archive","4","1336","0","0","0",""
"厉","lì","Archive","4","1339","0","0","0",""
"穷","qióng","Archive","4","1343","0","0","0",""
"码","mǎ","Archive","4","1345","0","0","0",""
"偶","ǒu","Archive","4","1361","0","0","0",""
"稍","shāo","Archive","4","1373","0","0","0",""
"矿","kuàng","Archive","4","1385","0","0","0",""
"抬","tái","Archive","4","1386","0","0","0",""
"倍","bèi","Archive","4","1392","0","0","0",""
"污","wū","Archive","4","1405","0","0","0",""
"耐","nài","Archive","4","1409","0","0","0",""
"粗","cū","Archive","4","1414","0","0","0",""
"悉","xī","Archive","4","1428","0","0","0",""
"详","xiáng","Archive","4","1439","0","0","0",""
"允","yǔn","Archive","4","1443","0","0","0",""
"剩","shèng","Archive","4","1446","0","0","0",""
"漫","màn","Archive","4","1455","0","0","0",""
"酸","suān","Archive","4","1456","0","0","0",""
"辛","xīn","Archive","4","1463","0","0","0",""
"餐","cān","Archive","4","1465","0","0","0",""
"挺","tǐng","Archive","4","1467","0","0","0",""
"励","lì","Archive","4","1468","0","0","0",""
"键","jiàn","Archive","4","1471","0","0","0",""
"扰","rǎo","Archive","4","1483","0","0","0",""
"阅","yuè","Archive","4","1489","0","0","0",""
"汗","hàn","Archive","4","1490","0","0","0",""
"骗","piàn","Archive","4","1503","0","0","0",""
"龄","líng","Archive","4","1510","0","0","0",""
"惜","xī","Archive","4","1512","0","0","0",""
"仔","zǐ","Archive","4","1572","0","0","0",""
"俩","liǎ","Archive","4","1574","0","0","0",""
"籍","jí","Archive","4","1579","0","0","0",""
"凉","liáng","Archive","4","1581","0","0","0",""
"貌","mào","Archive","4","1595","0","0","0",""
"猜","cāi","Archive","4","1598","0","0","0",""
"怜","lián","Archive","4","1599","0","0","0",""
